states,scores
0,"[0, 0, 0, 0, 0]"
0001000000000000000000000,"[0.44092, 0, 0, 0, 0]"
2101000000000000000000000,"[0.2154, 0, 0, 0, 0]"
2101020010000000000000000,"[0.20178, 0, 0, 0, 0]"
2101020010200001000000000,"[0, 0.20799, 0, 0, 0]"
2111020010200001000020000,"[0, -1, -1, -1, -0.02739]"
2111022010210001000020000,"[0, -1, -1, -1, -1]"
2001000010000000000000000,"[0.47573, 0, 0, 0, 0]"
2001010010000200000000000,"[0.06476, 0, 0, 0, 0]"
2001110010200200000000000,"[0.02321, 0, 0, 0, 0]"
2001110010200202001000000,"[0.02232, 0, 0, 0, 0]"
2001110011200202001020000,"[0, 0.0119, 0, 0, 0]"
2201111011200202001020000,"[0, 0, 0, 0, 0]"
2201111011220202101020000,"[0, 0.0119, 0, 0, 0]"
2211111011220202101022000,"[0, 0, 0.0119, 0, 0]"
2211111211220202101022010,"[0, 0, 1, 0, 0]"
2001020010000100000000000,"[-1, -1, -1, 0.45611, -1]"
2011020010000000000000000,"[0.24773, 0, 0, 0, 0]"
2211020010100000000000000,"[0.06338, 0, 0, 0, 0]"
2211020010100102000000000,"[-1, -1, -1, 0.07608, 0]"
2101000020000100000000000,"[0.06221, 0, 0, 0, 0]"
2101021020000100000000000,"[0.05397, 0, 0, 0, 0]"
2101021020000100002000010,"[0, 0, 0, 0, 0]"
2111021020020100002000010,"[0, 0, 0, 0, 0]"
2201000010000100000000000,"[-1, -1, -1, 0.64018, -1]"
0021000010000000000000000,"[0.09281, 0, 0, 0, 0]"
0121000210000000000000000,"[0.05467, 0, 0, 0, 0]"
2121001210000000000000000,"[0.04627, 0, 0, 0, 0]"
2121021210100000000000000,"[0.02474, 0, 0, 0, 0]"
2121021210100102000000000,"[-0.42768, -1, 0.01726, 0, 0]"
2021000010000100000000000,"[-1, -1, -1, 0.09817, -1]"
0001000020000100000000000,"[0.09087, 0, 0, 0, 0]"
2001000020000100001000000,"[0.08082, 0, 0, 0, 0]"
2001020020100100001000000,"[0.06507, 0, 0, 0, 0]"
2011020020100102001000000,"[0.03035, 0, 0, 0, 0]"
2111020020100102001020000,"[0, 0, 0, 0, 0.01785]"
0100000000000000000000000,"[0.2268, 0, 0, 0, 0]"
2101002010000000000000000,"[0.07403, 0, 0, 0, 0]"
2101022010100000000000000,"[0.06243, 0, 0, 0, 0]"
2101022010100002000010000,"[0, 0, 0, 0, 0]"
2101222010110002000010000,"[0, 0.02351, 0, 0, 0]"
2101222010110002200011000,"[0, 0, 0.0119, 0, 0]"
2121222010110102200011000,"[0, 0, 0, 0.0119, 0]"
2001020010100100002000000,"[0.51217, 0, 0, 0, 0]"
2201021010100100002000000,"[0.02624, 0, 0, 0, 0]"
2201021010100102002000010,"[0, 0.05113, 0, 0, 0]"
2201221010110102002000010,"[0.02351, 0, 0, 0, 0]"
2221221010110102102000010,"[-1, 0, 0, 0, 0]"
2001100000000000000000000,"[0.18081, 0, 0, 0, 0]"
